Name,Cuisine / Type,Google Rating,ImageURL,Hours,FormattedHours,Phone,Address
302 Social - Eatery & Barroom,American,4.1,https://s3-media0.fl.yelpcdn.com/bphoto/_pzvro3jSRdGYXEAKlkkEw/o.jpg,,,,
Above the Dunes,Seafood,4.3,https://s3-media0.fl.yelpcdn.com/bphoto/JHFXjgr2KHFSD9Oe4VGwdA/o.jpg,"[{""is_overnight"":false,""start"":""1100"",""end"":""2000"",""day"":0},{""is_overnight"":false,""start"":""1100"",""end"":""2000"",""day"":1},{""is_overnight"":false,""start"":""1100"",""end"":""2000"",""day"":2},{""is_overnight"":false,""start"":""1100"",""end"":""2000"",""day"":3},{""is_overnight"":false,""start"":""1100"",""end"":""2100"",""day"":4},{""is_overnight"":false,""start"":""1100"",""end"":""2100"",""day"":5},{""is_overnight"":false,""start"":""1100"",""end"":""2000"",""day"":6}]",Monday: 11:00 AM - 8:00 PM | Tuesday: 11:00 AM - 8:00 PM | Wednesday: 11:00 AM - 8:00 PM | Thursday: 11:00 AM - 8:00 PM | Friday: 11:00 AM - 9:00 PM | Saturday: 11:00 AM - 9:00 PM | Sunday: 11:00 AM - 8:00 PM,+13022262000,"101 S Boardwalk, Rehoboth Beach, DE, 19971"
Aqua Bar & Grill,American,3.6,https://s3-media0.fl.yelpcdn.com/bphoto/-SKnE8OXWSbIirlM8WxRIw/o.jpg,"[{""is_overnight"":true,""start"":""1600"",""end"":""0100"",""day"":0},{""is_overnight"":true,""start"":""1600"",""end"":""0100"",""day"":1},{""is_overnight"":true,""start"":""1600"",""end"":""0100"",""day"":2},{""is_overnight"":true,""start"":""1600"",""end"":""0100"",""day"":3},{""is_overnight"":true,""start"":""1600"",""end"":""0100"",""day"":4},{""is_overnight"":true,""start"":""1200"",""end"":""0100"",""day"":5},{""is_overnight"":true,""start"":""1200"",""end"":""0100"",""day"":6}]",Monday: 4:00 PM - 1:00 AM | Tuesday: 4:00 PM - 1:00 AM | Wednesday: 4:00 PM - 1:00 AM | Thursday: 4:00 PM - 1:00 AM | Friday: 4:00 PM - 1:00 AM | Saturday: 12:00 PM - 1:00 AM | Sunday: 12:00 PM - 1:00 AM,+13022269001,"57 Baltimore Ave, Rehoboth Beach, DE, 19971"
Baja Bob's,Mexican,3.5,https://s3-media0.fl.yelpcdn.com/bphoto/0R2xSoElOP1qC2_QIniZJw/o.jpg,"[{""is_overnight"":false,""start"":""1100"",""end"":""2100"",""day"":0},{""is_overnight"":false,""start"":""1100"",""end"":""2100"",""day"":1},{""is_overnight"":false,""start"":""1100"",""end"":""2100"",""day"":2},{""is_overnight"":false,""start"":""1100"",""end"":""2100"",""day"":3},{""is_overnight"":false,""start"":""1100"",""end"":""2100"",""day"":4},{""is_overnight"":false,""start"":""1100"",""end"":""2100"",""day"":5},{""is_overnight"":false,""start"":""1100"",""end"":""2100"",""day"":6}]",Monday: 11:00 AM - 9:00 PM | Tuesday: 11:00 AM - 9:00 PM | Wednesday: 11:00 AM - 9:00 PM | Thursday: 11:00 AM - 9:00 PM | Friday: 11:00 AM - 9:00 PM | Saturday: 11:00 AM - 9:00 PM | Sunday: 11:00 AM - 9:00 PM,+14106610300,"101 S Boardwalk, Rehoboth Beach, DE, 19971"
Bodhi Kitchen,Asian Fusion,3.9,https://s3-media0.fl.yelpcdn.com/bphoto/-9JQeU6TOsOvIj63VHsOoA/o.jpg,"[{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":0},{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":1},{""is_overnight"":true,""start"":""1700"",""end"":""0100"",""day"":2},{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":3},{""is_overnight"":false,""start"":""1700"",""end"":""2300"",""day"":4},{""is_overnight"":false,""start"":""1700"",""end"":""2300"",""day"":5},{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":6}]",Monday: 5:00 PM - 10:00 PM | Tuesday: 5:00 PM - 10:00 PM | Wednesday: 5:00 PM - 1:00 AM | Thursday: 5:00 PM - 10:00 PM | Friday: 5:00 PM - 11:00 PM | Saturday: 5:00 PM - 11:00 PM | Sunday: 5:00 PM - 10:00 PM,+13025672129,"10 N 1st St, Rehoboth Beach, DE, 19971"
Breakfast Guru,Breakfast & Brunch,3.8,https://s3-media0.fl.yelpcdn.com/bphoto/Z8gPPkGIaiow3EhyDL1yng/o.jpg,"[{""is_overnight"":false,""start"":""0700"",""end"":""1300"",""day"":0},{""is_overnight"":false,""start"":""0700"",""end"":""1300"",""day"":1},{""is_overnight"":false,""start"":""0700"",""end"":""1300"",""day"":2},{""is_overnight"":false,""start"":""0700"",""end"":""1300"",""day"":3},{""is_overnight"":false,""start"":""0700"",""end"":""1300"",""day"":4},{""is_overnight"":false,""start"":""0700"",""end"":""1300"",""day"":5},{""is_overnight"":false,""start"":""0700"",""end"":""1300"",""day"":6}]",Monday: 7:00 AM - 1:00 PM | Tuesday: 7:00 AM - 1:00 PM | Wednesday: 7:00 AM - 1:00 PM | Thursday: 7:00 AM - 1:00 PM | Friday: 7:00 AM - 1:00 PM | Saturday: 7:00 AM - 1:00 PM | Sunday: 7:00 AM - 1:00 PM,+13025672829,"19 Wilmington Ave, Rehoboth Beach, DE, 19971"
Dogfish Head Chesapeake & Maine,Seafood,3.9,https://s3-media0.fl.yelpcdn.com/bphoto/3J2pjXGBrX7IRFpIZVdaQw/o.jpg,"[{""is_overnight"":false,""start"":""1600"",""end"":""2200"",""day"":0},{""is_overnight"":false,""start"":""1600"",""end"":""2200"",""day"":3},{""is_overnight"":false,""start"":""1600"",""end"":""2200"",""day"":4},{""is_overnight"":false,""start"":""1600"",""end"":""2200"",""day"":5},{""is_overnight"":false,""start"":""1500"",""end"":""2100"",""day"":6}]",Monday: 4:00 PM - 10:00 PM | Thursday: 4:00 PM - 10:00 PM | Friday: 4:00 PM - 10:00 PM | Saturday: 4:00 PM - 10:00 PM | Sunday: 3:00 PM - 9:00 PM,+13022263600,"316 Rehoboth Ave, Rehoboth Beach, DE, 19971"
Claws Seafood House,Seafood,4.2,https://s3-media0.fl.yelpcdn.com/bphoto/EHnvtP3L86XIqsLXgjbcsA/o.jpg,"[{""is_overnight"":false,""start"":""1130"",""end"":""2030"",""day"":0},{""is_overnight"":false,""start"":""1130"",""end"":""2030"",""day"":1},{""is_overnight"":false,""start"":""1130"",""end"":""2030"",""day"":2},{""is_overnight"":false,""start"":""1130"",""end"":""2030"",""day"":3},{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":4},{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":5},{""is_overnight"":false,""start"":""1130"",""end"":""2030"",""day"":6}]",Monday: 11:30 AM - 8:30 PM | Tuesday: 11:30 AM - 8:30 PM | Wednesday: 11:30 AM - 8:30 PM | Thursday: 11:30 AM - 8:30 PM | Friday: 11:30 AM - 9:00 PM | Saturday: 11:30 AM - 9:00 PM | Sunday: 11:30 AM - 8:30 PM,+13022272529,"167 Rehoboth Ave, Rehoboth Beach, DE, 19971"
DiFebo's Restaurant,Italian,4,https://s3-media0.fl.yelpcdn.com/bphoto/mVrLHuTFu8aNJKtld3RCig/o.jpg,"[{""is_overnight"":false,""start"":""1700"",""end"":""2100"",""day"":0},{""is_overnight"":false,""start"":""1700"",""end"":""2100"",""day"":1},{""is_overnight"":false,""start"":""1700"",""end"":""2100"",""day"":2},{""is_overnight"":false,""start"":""1700"",""end"":""2100"",""day"":3},{""is_overnight"":false,""start"":""1700"",""end"":""2100"",""day"":4},{""is_overnight"":false,""start"":""1700"",""end"":""2100"",""day"":5},{""is_overnight"":false,""start"":""1700"",""end"":""2100"",""day"":6}]",Monday: 5:00 PM - 9:00 PM | Tuesday: 5:00 PM - 9:00 PM | Wednesday: 5:00 PM - 9:00 PM | Thursday: 5:00 PM - 9:00 PM | Friday: 5:00 PM - 9:00 PM | Saturday: 5:00 PM - 9:00 PM | Sunday: 5:00 PM - 9:00 PM,+13022264550,"12 N 1st St, Rehoboth Beach, DE, 19971"
Dogfish Head Brewings & Eats,Brewpub,3.9,https://s3-media0.fl.yelpcdn.com/bphoto/5wAUiHJATPya4Vn0c_3SSQ/o.jpg,"[{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":0},{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":1},{""is_overnight"":false,""start"":""1130"",""end"":""2200"",""day"":2},{""is_overnight"":false,""start"":""1130"",""end"":""2200"",""day"":3},{""is_overnight"":false,""start"":""1130"",""end"":""2300"",""day"":4},{""is_overnight"":false,""start"":""1130"",""end"":""2300"",""day"":5},{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":6}]",Monday: 11:30 AM - 9:00 PM | Tuesday: 11:30 AM - 9:00 PM | Wednesday: 11:30 AM - 10:00 PM | Thursday: 11:30 AM - 10:00 PM | Friday: 11:30 AM - 11:00 PM | Saturday: 11:30 AM - 11:00 PM | Sunday: 11:30 AM - 9:00 PM,+13022262739,"320 Rehoboth Ave, Rehoboth Beach, DE, 19971"
