Name,Cuisine / Type,Google Rating,ImageURL,Hours,FormattedHours,Phone,Address
302 Social - Eatery & Barroom,American,,,,,,
Above the Dunes,Seafood,4.3,https://s3-media0.fl.yelpcdn.com/bphoto/JHFXjgr2KHFSD9Oe4VGwdA/o.jpg,,,,
Aqua Bar & Grill,American,,https://s3-media0.fl.yelpcdn.com/bphoto/-SKnE8OXWSbIirlM8WxRIw/o.jpg,,,,
Baja Bob's,Mexican,3.5,https://s3-media0.fl.yelpcdn.com/bphoto/0R2xSoElOP1qC2_QIniZJw/o.jpg,,,,
Bodhi Kitchen,Asian Fusion,,https://s3-media0.fl.yelpcdn.com/bphoto/-9JQeU6TOsOvIj63VHsOoA/o.jpg,,,,
Breakfast Guru,Breakfast & Brunch,,https://s3-media0.fl.yelpcdn.com/bphoto/Z8gPPkGIaiow3EhyDL1yng/o.jpg,,,,
Dogfish Head Chesapeake & Maine,Seafood,3.9,https://s3-media0.fl.yelpcdn.com/bphoto/3J2pjXGBrX7IRFpIZVdaQw/o.jpg,,,,
Claws Seafood House,Seafood,4.2,https://s3-media0.fl.yelpcdn.com/bphoto/EHnvtP3L86XIqsLXgjbcsA/o.jpg,,,,
DiFebo's Restaurant,Italian,,https://s3-media0.fl.yelpcdn.com/bphoto/mVrLHuTFu8aNJKtld3RCig/o.jpg,,,,
Dogfish Head Brewings & Eats,Brewpub,,https://s3-media0.fl.yelpcdn.com/bphoto/5wAUiHJATPya4Vn0c_3SSQ/o.jpg,,,,
Dos Locos,Mexican,,https://s3-media0.fl.yelpcdn.com/bphoto/EGhGq7Wp4E6b1k1cDq4YWA/o.jpg,,,,
Drift Seafood & Raw Bar,Seafood,,https://s3-media0.fl.yelpcdn.com/bphoto/PZQ6h2XItDhEgTmfx9_WDg/o.jpg,,,,
Fins Fish House & Raw Bar,Seafood,,https://s3-media0.fl.yelpcdn.com/bphoto/NqjdiFsD2VcK-_9GBMArew/o.jpg,,,,
Freddie's Beach Bar,American,,https://s3-media0.fl.yelpcdn.com/bphoto/5eFT1KF-msHgTW48_0RRpw/o.jpg,,,,
The Ice Cream Store,Ice Cream,,https://s3-media0.fl.yelpcdn.com/bphoto/jfUYVBNBAdoxZr_dKhsbDQ/o.jpg,,,,
Kiwi's Tiki Hut & Kove,Bar & Grill,,,,,,
Louie's Pizza,Pizza,,https://s3-media0.fl.yelpcdn.com/bphoto/GXfUzz_L1x8xuz4aJ-8c0g/o.jpg,,,,
Mariachi Restaurant,Mexican,,https://s3-media0.fl.yelpcdn.com/bphoto/CQJhtcESPlkF2VQVBzocWg/o.jpg,,,,
Purple Parrot Grill,American,,https://s3-media0.fl.yelpcdn.com/bphoto/UUP-05dBwX1WUrR920bqew/o.jpg,,,,
The Pines,American,,https://s3-media0.fl.yelpcdn.com/bphoto/bH1H6dgZf67FIUBOlGpWvA/o.jpg,,,,
Shorebreak Lodge,Seafood,,https://s3-media0.fl.yelpcdn.com/bphoto/1krVl6O5rUIBjNfKYqTRdA/o.jpg,,,,
Sirocco,Mediterranean,,https://s3-media0.fl.yelpcdn.com/bphoto/jrPP13KDDFAGQmzRMtH0vQ/o.jpg,,,,
Snyder's Candy,Candy Store,,https://s3-media0.fl.yelpcdn.com/bphoto/C2gLAokWM50U8TBt3OuyUw/o.jpg,,,,
Somewhere (Restaurant),Caribbean,,https://s3-media0.fl.yelpcdn.com/bphoto/OP3zWAzj7k7FLydp_l6qYw/o.jpg,,,,
Victoria's Restaurant,American,,https://s3-media0.fl.yelpcdn.com/bphoto/fAgkrYmDi8P3fRhOHmFeuQ/o.jpg,,,,
Archie's Ice Cream,Ice Cream,3.7,https://s3-media0.fl.yelpcdn.com/bphoto/oZ2mT3DCL3z8Y0MUHr9NJg/o.jpg,,,,
Aroma Mediterranean Cuisine,Mediterranean,,https://s3-media0.fl.yelpcdn.com/bphoto/BCe-InKf0JSJjOU0BPzS5w/o.jpg,,,,
Back Porch Café,American (Fine Dining),,https://s3-media0.fl.yelpcdn.com/bphoto/MGRcEebZm1BEl-MKl2UCKQ/o.jpg,,,,
Blue Moon,American,,https://s3-media0.fl.yelpcdn.com/bphoto/xXHVTv-YnH1KxpvrcyNdJg/o.jpg,,,,
Cafe Papillon,French Bakery,,https://s3-media0.fl.yelpcdn.com/bphoto/vRA67E7oOSBMs9OMAjIlog/o.jpg,,,,
Coffee Mill,Coffee Shop,,https://s3-media0.fl.yelpcdn.com/bphoto/AuLEc8-uBxQtW3Ta1unlYA/o.jpg,,,,
